#,Priority,Done? (y/n),Status,Category,Segment,ALM rank,Product,FILENAME 01 (front - required),FILENAME 02 (back label - optional),Price,Cost ex GST,Barcode,ALM item code,Supplier,Why this priority
1,P1,,TO ADD,Spirits,RUM WHITE,1,Bacardi Carta Blanca 1L,bacardi-carta-blanca-1l-01.jpg,bacardi-carta-blanca-1l-02.jpg,106.99,72.28,5010677015806,367517,,ALM top-3 in its segment - proven volume
2,P1,,TO ADD,Wine,SPARKLING CHAMPAGNE,1,Moet Chandon Brut NV 750mL,moet-chandon-brut-nv-750ml-01.jpg,moet-chandon-brut-nv-750ml-02.jpg,99.99,67.94,3185370729960,535518,MOET HENNESSY AUSTRALIA,ALM top-3 in its segment - proven volume
3,P1,,TO ADD,Spirits,GIN,1,Gordons Gin 1L,gordons-gin-1l-01.jpg,gordons-gin-1l-02.jpg,92.99,63.03,9310495067664,534274,,ALM top-3 in its segment - proven volume
4,P1,,TO ADD,Spirits,RUM DARK,1,Bundaberg Rum Up 1L,bundaberg-rum-up-1l-01.jpg,bundaberg-rum-up-1l-02.jpg,92.99,63.02,9311866008705,656322,,ALM top-3 in its segment - proven volume
5,P1,,TO ADD,Spirits,RUM GOLD,1,Captain Morgan Spiced Gold 1L,captain-morgan-spiced-gold-1l-01.jpg,captain-morgan-spiced-gold-1l-02.jpg,92.99,62.98,5000281039558,417448,,ALM top-3 in its segment - proven volume
6,P1,,TO ADD,Spirits,SCOTCH,1,Johnnie Walker Red Label 1L,johnnie-walker-red-label-1l-01.jpg,johnnie-walker-red-label-1l-02.jpg,92.99,62.93,5000267099026,995938,,ALM top-3 in its segment - proven volume
7,P1,,TO ADD,Spirits,VODKA,1,Smirnoff Vodka Red 37% 1L,smirnoff-vodka-red-37-1l-01.jpg,smirnoff-vodka-red-37-1l-02.jpg,88.99,60.30,9310495084081,19559,,ALM top-3 in its segment - proven volume
8,P1,,TO ADD,Spirits,BOURBON,1,Jim Beam White Label Bourbon 37% 1L,jim-beam-white-label-bourbon-37-1l-01.jpg,jim-beam-white-label-bourbon-37-1l-02.jpg,86.99,59.01,5010278101311,802083,,ALM top-3 in its segment - proven volume
9,P1,,TO ADD,Spirits,WHISKEY,1,Jameson Irish Whisky 700mL,jameson-irish-whisky-700ml-01.jpg,jameson-irish-whisky-700ml-02.jpg,77.99,52.65,5011007003005,558299,,ALM top-3 in its segment - proven volume
10,P1,,TO ADD,Spirits,OTHER SPIRITS,1,Aperol Aperitif 700mL,aperol-aperitif-700ml-01.jpg,aperol-aperitif-700ml-02.jpg,40.99,27.44,8002230000302,526226,,ALM top-3 in its segment - proven volume
11,P1,,TO ADD,Wine,STILL RED,1,Pepperjack Shiraz 750mL,pepperjack-shiraz-750ml-01.jpg,pepperjack-shiraz-750ml-02.jpg,24.99,16.76,9300770003272,797013,TREASURY WINE ESTATES,ALM top-3 in its segment - proven volume
12,P1,,TO ADD,Wine,STILL WHITE,1,Oyster Bay Sauvignon Blanc 750mL,oyster-bay-sauvignon-blanc-750ml-01.jpg,oyster-bay-sauvignon-blanc-750ml-02.jpg,22.99,15.42,9415549802601,797592,DELEGAT AUSTRALIA PTY LTD,ALM top-3 in its segment - proven volume
13,P1,,TO ADD,Wine,WINE SPARKLING WHITE,1,De Bortoli K/V Prosecco 750mL,de-bortoli-k-v-prosecco-750ml-01.jpg,de-bortoli-k-v-prosecco-750ml-02.jpg,18.99,12.30,9300752220949,450909,DE BORTOLI WINES PTY LIMI,ALM top-3 in its segment - proven volume
14,P1,,TO ADD,Wine,MOSCATO,1,Brown Brothers Moscato 750mL,brown-brothers-moscato-750ml-01.jpg,brown-brothers-moscato-750ml-02.jpg,17.99,11.69,0029147139985,552578,BROWN FAMILY WINE GROUP,ALM top-3 in its segment - proven volume
