Product,Price,Likely vintage,Confidence,Basis,CONFIRMED vintage (fill),Notes
Krug Vintage,982.99,2013,HIGH,"Krug's own July 2026 release list: Grande Cuvee 174e, Vintage 2013, Clos d'Ambonnay 2008",,
Dom Perignon Rose,971.99,2009,MEDIUM,Reported as the current release as at July 2026,,
Henschke Hill of Grace,949.99,2022,HIGH,Henschke 2022 Single Vineyard Collection released globally 6 May 2026,,
Louis Roederer Cristal,529.99,2016?,LOW,2016 cited as latest in 2025; a 2008 late-release also launched Jun 2026. Conflicting - confirm,,
Veuve Clicquot La Grande Dame,456.99,2018?,LOW,House lists 2018/2015/2012/2008 together; newest is probably 2018 but not stated,,
Taittinger Comtes de Champagne Blanc de Blancs,450.00,2008,HIGH,Described Jan 2026 as having just come out of the cellar,,
Jim Barry The Armagh,419.29,2023,MEDIUM,2023 indicated as current; 2022 scored 96 - plausible either way,,
Torbreck RunRig,330.00,2021?,LOW,"Only evidence is a 2016-2021 vertical pack, so 2021 is the newest referenced",,
Best's Thomson Family Shiraz,249.99,2020?,LOW,"Made only ~6 times a decade, so vintages skip. 2020 is the most recent found",,
Yalumba The Octavius,159.99,,NONE,Search inconclusive - no current release found,,
Cullen Diana Madeline,159.99,2024,HIGH,2024 released May-June 2026 at Cullen's Icon Release dinners,,
Clonakilla Shiraz Viognier,139.99,2024,HIGH,Clonakilla's own 2024 release page; 97pts Huon Hooke,,
Howard Park Abercrombie Cabernet Sauvignon,129.99,2023,MEDIUM,2023 reviewed as current; 2022 also in market,,
Irvine Grand Merlot,119.99,2016,MEDIUM,2016 is the vintage in market. NOTE: listed overseas near $199 - our $119.99 may be under-priced,,
Duckhorn Napa Valley Merlot,99.99,2023,MEDIUM,2023 is the 50th Anniversary bottling and is featured as current,,
Tapanappa Whalebone Vineyard Merlot Cabernet Franc,95.00,2021,HIGH,"2021 is the current release; note it is a 4-variety blend, not merlot/cab franc alone",,
Petaluma Coonawarra,84.99,2021,MEDIUM,2021 Evans Vineyard Coonawarra Cabernet Merlot is the current bottling,,
d'Arenberg The Dead Arm Shiraz,74.99,,NONE,Search inconclusive,,
Yalumba The Menzies,56.99,2022,MEDIUM,"2022 on Yalumba's own site, reviewed May 2025 as current",,
Chandon Vintage Brut,49.99,2019,MEDIUM,"2019 cited as current release, 95pts",,
Jansz Tasmania Vintage Cuvee,48.99,2021,MEDIUM,Jansz shop lists 2020 and 2021; 2021 is the newer,,
Woodlands Cabernet Merlot,41.99,,NONE,"Woodlands make several cabernet merlots at different tiers - the PRODUCT is ambiguous, not just the vintage",,
