Rank,Priority,Product,Vendor,Status,Price,Why this rank,Filename 01 (front - featured),Filename 02 (back label),Filename 03 (gift box),Shopify handle
1,P1,Da Luca Prosecco,Da Luca,ACTIVE,19.99,LIVE on site with no image - losing sales now,da-luca-prosecco-01.jpg,da-luca-prosecco-02.jpg,da-luca-prosecco-03.jpg,da-luca-prosecco
2,P1,Taylors Estate Cabernet Sauvignon,Taylors Wines,ACTIVE,19.99,LIVE on site with no image - losing sales now,taylors-estate-cabernet-sauvignon-01.jpg,taylors-estate-cabernet-sauvignon-02.jpg,taylors-estate-cabernet-sauvignon-03.jpg,taylors-estate-cabernet-sauvignon
3,P1,Taylors Estate Chardonnay,Taylors Wines,ACTIVE,19.99,LIVE on site with no image - losing sales now,taylors-estate-chardonnay-01.jpg,taylors-estate-chardonnay-02.jpg,taylors-estate-chardonnay-03.jpg,taylors-estate-chardonnay
4,P1,Taylors Estate Shiraz,Taylors Wines,ACTIVE,19.99,LIVE on site with no image - losing sales now,taylors-estate-shiraz-01.jpg,taylors-estate-shiraz-02.jpg,taylors-estate-shiraz-03.jpg,taylors-estate-shiraz
5,P1,La Vieille Ferme Rose,Famille Perrin,ACTIVE,18.99,LIVE on site with no image - losing sales now,la-vieille-ferme-rose-01.jpg,la-vieille-ferme-rose-02.jpg,la-vieille-ferme-rose-03.jpg,la-vieille-ferme-rose
6,P1,Squealing Pig Marlborough Sauvignon Blanc,Squealing Pig,ACTIVE,16.99,LIVE on site with no image - losing sales now,squealing-pig-marlborough-sauvignon-blanc-01.jpg,squealing-pig-marlborough-sauvignon-blanc-02.jpg,squealing-pig-marlborough-sauvignon-blanc-03.jpg,squealing-pig-marlborough-sauvignon-blanc
7,P1,821 South Marlborough Sauvignon Blanc,821 South,ACTIVE,15.99,LIVE on site with no image - losing sales now,821-south-marlborough-sauvignon-blanc-01.jpg,821-south-marlborough-sauvignon-blanc-02.jpg,821-south-marlborough-sauvignon-blanc-03.jpg,821-south-marlborough-sauvignon-blanc
8,P1,Mud House Marlborough Sauvignon Blanc,Mud House,ACTIVE,14.99,LIVE on site with no image - losing sales now,mud-house-marlborough-sauvignon-blanc-01.jpg,mud-house-marlborough-sauvignon-blanc-02.jpg,mud-house-marlborough-sauvignon-blanc-03.jpg,mud-house-marlborough-sauvignon-blanc
9,P1,Wynns The Siding Cabernet Sauvignon,Wynns Coonawarra Estate,ACTIVE,14.99,LIVE on site with no image - losing sales now,wynns-the-siding-cabernet-sauvignon-01.jpg,wynns-the-siding-cabernet-sauvignon-02.jpg,wynns-the-siding-cabernet-sauvignon-03.jpg,wynns-the-siding-cabernet-sauvignon
10,P1,De Bortoli Rose Rose,De Bortoli,ACTIVE,13.99,LIVE on site with no image - losing sales now,de-bortoli-rose-rose-01.jpg,de-bortoli-rose-rose-02.jpg,de-bortoli-rose-rose-03.jpg,de-bortoli-rose-rose
11,P1,Wyndham Estate BIN 555 Shiraz,Wyndham Estate,ACTIVE,13.99,LIVE on site with no image - losing sales now,wyndham-estate-bin-555-shiraz-01.jpg,wyndham-estate-bin-555-shiraz-02.jpg,wyndham-estate-bin-555-shiraz-03.jpg,wyndham-estate-bin-555-shiraz
12,P1,Wyndham Estate BIN 888 Cabernet Merlot,Wyndham Estate,ACTIVE,13.99,LIVE on site with no image - losing sales now,wyndham-estate-bin-888-cabernet-merlot-01.jpg,wyndham-estate-bin-888-cabernet-merlot-02.jpg,wyndham-estate-bin-888-cabernet-merlot-03.jpg,wyndham-estate-bin-888-cabernet-merlot
13,P1,Elephant in the Room Pinot Noir,Fourth Wave Wine,ACTIVE,12.99,LIVE on site with no image - losing sales now,elephant-in-the-room-pinot-noir-01.jpg,elephant-in-the-room-pinot-noir-02.jpg,elephant-in-the-room-pinot-noir-03.jpg,elephant-in-the-room-pinot-noir
14,P1,Stoneleigh Marlborough Sauvignon Blanc,Stoneleigh,ACTIVE,12.99,LIVE on site with no image - losing sales now,stoneleigh-marlborough-sauvignon-blanc-01.jpg,stoneleigh-marlborough-sauvignon-blanc-02.jpg,stoneleigh-marlborough-sauvignon-blanc-03.jpg,stoneleigh-marlborough-sauvignon-blanc
15,P1,Upside Down Rose,Upside Down,ACTIVE,9.99,LIVE on site with no image - losing sales now,upside-down-rose-01.jpg,upside-down-rose-02.jpg,upside-down-rose-03.jpg,upside-down-rose
16,P1,Upside Down Sauvignon Blanc,Upside Down,ACTIVE,9.99,LIVE on site with no image - losing sales now,upside-down-sauvignon-blanc-01.jpg,upside-down-sauvignon-blanc-02.jpg,upside-down-sauvignon-blanc-03.jpg,upside-down-sauvignon-blanc
17,P1,Rawson's Retreat Shiraz Cabernet,Penfolds,ACTIVE,8.99,LIVE on site with no image - losing sales now,rawsons-retreat-shiraz-cabernet-01.jpg,rawsons-retreat-shiraz-cabernet-02.jpg,rawsons-retreat-shiraz-cabernet-03.jpg,rawsons-retreat-shiraz-cabernet
18,P1,Tatachilla White Admiral Pinot Grigio,Tatachilla,ACTIVE,8.99,LIVE on site with no image - losing sales now,tatachilla-white-admiral-pinot-grigio-01.jpg,tatachilla-white-admiral-pinot-grigio-02.jpg,tatachilla-white-admiral-pinot-grigio-03.jpg,tatachilla-white-admiral-pinot-grigio
