Target,Live SKUs,Tier,Location,Email template,Note,Date sent,Contact,Outcome,Link URL,Followed? (y/n)
Karu Distillery,10,Tier 1,Grose Vale NSW,A,Full range - strongest ask,,,,,
Maybe Sammy,9,Tier 1,Sydney CBD,A,"Complete canned range, Sydney-Sydney fit",,,,,
Curatif,6,Tier 1,Melbourne,A,Highest shelf value in store,,,,,
Four Pillars Gin,5,Tier 2,Yarra Valley,C,Public stockist page - check for a form first,,,,,
Archie Rose Distilling Co.,4,Tier 2,"Rosebery, Sydney",B,No public directory found - trade contact,,,,,
Cape Byron Distillery,3,Tier 2,Byron Bay,B,Brookie's range,,,,,
Naked Life,3,Tier 2,Australia,B,Non-alc - easier category to be listed in,,,,,
Manly Spirits Co.,2,Tier 2,"Northern Beaches, Sydney",B,Local angle is the pitch,,,,,
Starward Whisky,2,Tier 2,Melbourne,B,,,,,,
Husk Distillers,2,Tier 2,Northern Rivers NSW,B,Ink Gin + Bam Bam Rum,,,,,
Never Never Distilling Co.,2,Tier 2,Adelaide Hills,B,,,,,,
Applewood Distillery,1,Tier 3,Adelaide Hills,B,Only if range extends,,,,,
Lark Distillery,1,Tier 3,Tasmania,B,Only if range extends,,,,,
